29/11/2022 10:00:19:375  INFO - In Progress | session id:sess3388123 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 10:03:12:948  INFO - In Progress | session id:sess5159605 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 11:20:32:766  INFO - In Progress | session id:sess1704784 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 11:21:01:093  INFO - In Progress | session id:sess9080629 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 11:22:18:340  INFO - In Progress | session id:sess9324314 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 11:22:46:654  INFO - In Progress | session id:sess1545694 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 11:23:23:706  INFO - In Progress | session id:sess1190325 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 12:18:25:269  INFO - In Progress | session id:sess6474865 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 12:22:41:680  INFO - In Progress | session id:sess2855443 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 12:27:48:821  INFO - In Progress | session id:sess4170343 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 12:31:52:096  INFO - In Progress | session id:sess7155953 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 12:33:05:447  INFO - In Progress | session id:sess172261 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 18:33:25:845  INFO - In Progress | session id:sess5590962 | Testing:report_msg |  | This is before Announcement |  |  | undefined
29/11/2022 18:34:33:414  INFO - In Progress | session id:sess4285260 | Testing:report_msg |  | This is before Announcement |  |  | undefined
